registrationNumber,type,legalName,tradeName,address,street,place,zip,county,status,dateFirstRegistered,dateRegisteredThrough,deletedDate,successorRegistrationNumber,cd119,cd_method,in_ny23,community
022801,Pharmacy,"CVS SENECA STREET,L.L.C.",CVS PHARMACY #2029,C/O PHARMACY 1979 SENECA ST. BUFFALO NY 14210,1979 SENECA ST,. BUFFALO,14210,ERIE,Discontinued,"November 12, 1995","September 30, 2006","September 30, 2006",NONE,,,unknown,yes
016726,Pharmacy,"CVS WILLIAMSVILLE STORE, L.L.C.",CVS PHARMACY,C/O PHARMACY 5326 MAIN STREET WILLIAMSVILLE NY 14221,5326 MAIN STREET,WILLIAMSVILLE,14221,ERIE,Discontinued,"March 21, 1980","February 28, 2006","February 28, 2006",NONE,,,unknown,yes
011518,Pharmacy,CY'S CLINTON PHARMACY CORP.,,3439 CLINTON ST. WEST SENECA NY 14224,3439 CLINTON ST,. WEST SENECA,14224,ERIE,Discontinued,"December 13, 1966","February 23, 1993","February 23, 1993",NONE,,,unknown,yes
030897,Pharmacy,D'YOUVILLE COLLEGE SCHOOL OF PHARMACY,,320 PORTER AVE. BUFFALO NY 14201,320 PORTER AVE,. BUFFALO,14201,ERIE,Active,"August 11, 2011","July 31, 2029",,NONE,26,Census batch geocode + point-in-district,no,yes
038740,Pharmacy,"DAN HORN PHARMACY, LLC",,111 E. GREEN ST. OLEAN NY 14760-3603,111 E. GREEN ST,. OLEAN,14760,CATTARAUGUS,Not Active,Not On File,"September 30, 2021","September 30, 2021",NONE,23,county wholly in NY-23,yes,yes
023822,Pharmacy,DANIEL J HORN,DAN HORN PHARMACY & HEALTH SERVICES,DAN HORN PHARMACY & HEALTH SERVICES 111 EAST GREEN ST. OLEAN NY 14760,DAN HORN PHARMACY & HEALTH SERVICES 111 EAST GREEN ST,. OLEAN,14760,CATTARAUGUS,Transfer,"November 16, 1998","August 29, 2024","August 29, 2024",041177,23,county wholly in NY-23,yes,yes
022121,Pharmacy,"DASH AND SONS, INC.",TOPS PHARMACY #234,3865 UNION RD. CHEEKTOWAGA NY 14225,3865 UNION RD,. CHEEKTOWAGA,14225,ERIE,Transfer,"May 20, 1994","August 07, 2001","August 07, 2001",025108,,,unknown,yes
028482,Pharmacy,DAWN R. EKLUM,SOUTH DAYTON PHARMACY,303 PINE ST. SOUTH DAYTON NY 14138,303 PINE ST,. SOUTH DAYTON,14138,CATTARAUGUS,Transfer,"July 05, 2007","October 29, 2024","October 29, 2024",041043,23,county wholly in NY-23,yes,yes
007461,Pharmacy,DE GRAFF MEMORIAL HOSPITAL,,C/O PHARMACY 445 TREMONT STREET NORTH TONAWANDA NY 14120,445 TREMONT STREET,NORTH TONAWANDA,14120,NIAGARA,Transfer,"November 25, 1957","May 21, 2002","May 21, 2002",025380,,,unknown,no
001086,Pharmacy,"DE PASQUALE, THOMAS J.",COLLEGE PHARMACY,COLLEGE PHARMACY 8 YORK ST. BUFFALO NY 14213,COLLEGE PHARMACY 8 YORK ST,. BUFFALO,14213,ERIE,Discontinued,"February 22, 1955","November 10, 1989","November 10, 1989",NONE,,,unknown,yes
035491,Pharmacy,"DEGIULIO'S PHARMACY, INC.",,220 PORTAGE RD. LEWISTON NY 14092,220 PORTAGE RD,. LEWISTON,14092,NIAGARA,Active,"October 25, 2017","September 30, 2029",,NONE,24,Census batch geocode + point-in-district,no,yes
017694,Pharmacy,"DEGIULIO, RICHARD J. & DEGIULIO, JAMES J.",DEGIULIO DRUGS,DEGIULIO DRUGS 3645 RANSOMVILLE RD. P.O. BOX 279 RANSOMVILLE NY 14131,DEGIULIO DRUGS 3645 RANSOMVILLE RD,. RANSOMVILLE,14131,NIAGARA,Transfer,"March 08, 1983","July 06, 1993","July 06, 1993",021729,,,unknown,yes
020999,Pharmacy,"DEL-MOR PHARMACY, INC.",,1410 DELAWARE AVE. BUFFALO NY 14209,1410 DELAWARE AVE,. BUFFALO,14209,ERIE,Transfer,"May 05, 1992","August 04, 1993","August 04, 1993",021825,,,unknown,yes
017426,Pharmacy,"DELANEY & THORNE, INC.",,625 PINE AVE. NIAGARA FALLS NY 14301,625 PINE AVE,. NIAGARA FALLS,14301,NIAGARA,Discontinued,"April 13, 1982","February 22, 1994","February 22, 1994",NONE,,,unknown,yes
010195,Pharmacy,"DELAWARE PRESCRIPTION CENTER, INC.",,1275 DELAWARE AVE. BUFFALO NY 14209,1275 DELAWARE AVE,. BUFFALO,14209,ERIE,Discontinued,"November 14, 1963","January 10, 1994","January 10, 1994",NONE,,,unknown,yes
304255,Wholesaler,"DELAWARE PRESCRIPTION CENTER, INC.",,1275 DELAWARE AVENUE BUFFALO NY 14209,1275 DELAWARE AVENUE,BUFFALO,14209,ERIE,Discontinued,"October 29, 1980","September 30, 1991","September 30, 1991",NONE,,,unknown,no
021432,Pharmacy,"DEPEW BROADWAY CVS, INC.",CVS PHARMACY,5150 BROADWAY DEPEW NY 14043,5150 BROADWAY,DEPEW,14043,ERIE,Discontinued,"September 11, 1992","October 08, 1996","October 08, 1996",NONE,,,unknown,yes
015197,Pharmacy,"DEPEW CVS, INC.",CVS PHARMACY,5079 BROADWAY DEPEW NY 14043,5079 BROADWAY,DEPEW,14043,ERIE,Discontinued,"October 14, 1975","October 18, 1992","October 18, 1992",NONE,,,unknown,yes
015502,Pharmacy,"DERBY PHARMACY, INC.",,6834 ERIE RD. DERBY NY 14047,6834 ERIE RD,. DERBY,14047,ERIE,Discontinued,"June 01, 1976","March 20, 1995","March 20, 1995",NONE,,,unknown,yes
010724,Pharmacy,"DILDINE PHARMACY INC., THE",,3-5 LIBERTY ST. BATH NY 14810,3-5 LIBERTY ST,. BATH,14810,STEUBEN,Discontinued,"January 01, 1965","January 05, 1999","January 05, 1999",NONE,23,county wholly in NY-23,yes,yes
034578,Pharmacy,DISCOUNT PHARMACY LLC,,429A WILLIAM STREET BUFFALO NY 14204,429A WILLIAM STREET,BUFFALO,14204,ERIE,Discontinued,"June 10, 2016","November 13, 2025","November 13, 2025",NONE,26,Census batch geocode + point-in-district,no,yes
018731,Pharmacy,"DOCTOR'S ORDER PRESCRIPTION PHARMACY, INC.",,5601 MAIN ST. WILLIAMSVILLE NY 14221,5601 MAIN ST,. WILLIAMSVILLE,14221,ERIE,Transfer,"August 07, 1985","March 07, 1996","March 07, 1996",022803,,,unknown,yes
500251,Storekeeper,"DUBKE, MARIE K.",MAPLES,MAPLES BOX 69  RD #1 LITTLE VALLEY NY 14755,MAPLES BOX 69 RD,#1 LITTLE VALLEY,14755,CATTARAUGUS,Discontinued,"February 26, 1969","October 31, 1989","October 31, 1989",NONE,23,county wholly in NY-23,yes,no
022048,Pharmacy,DUNNE'S PHARMACY INC.,,1979 SENECA ST. BUFFALO NY 14210-2352,1979 SENECA ST,. BUFFALO,14210,ERIE,Transfer,"March 24, 1994","November 12, 1995","November 12, 1995",022801,,,unknown,yes
011997,Pharmacy,"DUNNE'S PHARMACY, INC.",,1979 SENECA ST. BUFFALO NY 14210,1979 SENECA ST,. BUFFALO,14210,ERIE,Transfer,"January 01, 1967","March 24, 1994","March 24, 1994",022048,,,unknown,yes
024112,Wholesaler,DYNASTY 2000 INC,,1330 STATLER TOWERS BUFFALO NY 14202,1330 STATLER TOWERS,BUFFALO,14202,ERIE,Not Active,Not On File,"August 07, 2000","August 07, 2000",NONE,,,unknown,no
020430,Pharmacy,"EAST AMHERST PROFESSISONAL PHARMACY, INC.",,1150 YOUNGS RD. SUITE 103 WILLIAMSVILLE NY 14221,1150 YOUNGS RD,. WILLIAMSVILLE,14221,ERIE,Discontinued,"February 08, 1990","June 28, 1991","June 28, 1991",NONE,,,unknown,yes
016787,Pharmacy,EASTERN NIAGARA HOSPITAL,,DEPT.OF PHARMACY SERVICES 521 EAST AVE. LOCKPORT NY 14094,DEPT.OF PHARMACY SERVICES 521 EAST AVE,. LOCKPORT,14094,NIAGARA,Discontinued,"May 08, 1980","August 11, 2023","August 11, 2023",NONE,24,Census batch geocode + point-in-district,no,no
029417,Pharmacy,EASTERN NIAGARA HOSPITAL,,C/O PHARMACY DEPT 2600 WILLIAM ST NEWFANE NY 14108,DEPT 2600 WILLIAM ST,NEWFANE,14108,NIAGARA,Discontinued,"May 15, 2009","April 20, 2016","April 20, 2016",NONE,24,unmatched address; town wholly in/out of NY-23 (assumed),no,no
023962,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,40 SOUTH ERIE STREET MAYVILLE NY 14757,40 SOUTH ERIE STREET,MAYVILLE,14757,CHAUTAUQUA,Discontinued,"December 31, 1998","September 04, 2025","September 04, 2025",NONE,23,county wholly in NY-23,yes,yes
023951,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 279 EAST FAIRMOUNT AVENUE LAKEWOOD NY 14750,279 EAST FAIRMOUNT AVENUE,LAKEWOOD,14750,CHAUTAUQUA,Discontinued,"December 31, 1998","August 07, 2010","August 07, 2010",NONE,23,county wholly in NY-23,yes,yes
023946,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 811 NORTH MAIN STREET JAMESTOWN NY 14701,811 NORTH MAIN STREET,JAMESTOWN,14701,CHAUTAUQUA,Discontinued,"December 31, 1998","October 22, 2024","October 22, 2024",NONE,23,county wholly in NY-23,yes,yes
023942,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 2898 WESTINGHOUSE ROAD SUITE 508 HORSEHEADS NY 14845,2898 WESTINGHOUSE ROAD,HORSEHEADS,14845,CHEMUNG,Discontinued,"December 31, 1998","July 10, 2025","July 10, 2025",NONE,23,county wholly in NY-23,yes,yes
023940,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 2144 GRAND CENTRAL AVE. HORSEHEADS NY 14845,2144 GRAND CENTRAL AVE,. HORSEHEADS,14845,CHEMUNG,Discontinued,"December 31, 1998","August 21, 2025","August 21, 2025",NONE,23,county wholly in NY-23,yes,yes
023938,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 12 PARK DRIVE HORNELL NY 14843,12 PARK DRIVE,HORNELL,14843,STEUBEN,Transfer,"December 31, 1998","February 22, 2018","February 22, 2018",036260,23,county wholly in NY-23,yes,yes
023935,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY S-5999 SOUTH PARK AVE HAMBURG NY 14075,S5999 SOUTH PARK AVE,HAMBURG,14075,ERIE,Discontinued,"December 31, 1998","July 08, 2025","July 08, 2025",NONE,23,Census batch geocode + point-in-district,yes,yes
023905,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 2545 MILLERSPORT HIGHWAY GETZVILLE NY 14068,2545 MILLERSPORT HIGHWAY,GETZVILLE,14068,ERIE,Discontinued,"December 31, 1998","August 21, 2025","August 21, 2025",NONE,26,Census batch geocode + point-in-district,no,yes
023893,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 209 MT. ZOAR STREET ELMIRA NY 14904,209 MT. ZOAR STREET,ELMIRA,14904,CHEMUNG,Discontinued,"December 31, 1998","June 24, 2025","June 24, 2025",NONE,23,county wholly in NY-23,yes,yes
023892,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 119 WEST SECOND ST. ELMIRA NY 14901,119 WEST SECOND ST,. ELMIRA,14901,CHEMUNG,Discontinued,"December 31, 1998","February 01, 2024","February 01, 2024",NONE,23,county wholly in NY-23,yes,yes
023891,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/0 PHARMACY 3249 SHERIDAN DR. AMHERST NY 14226,C/0 PHARMACY 3249 SHERIDAN DR,. AMHERST,14226,ERIE,Discontinued,"December 31, 1998","April 15, 2024","April 15, 2024",NONE,26,Census batch geocode + point-in-district,no,yes
023890,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 8079 NORTH MAIN STREET EDEN NY 14057,8079 NORTH MAIN STREET,EDEN,14057,ERIE,Discontinued,"December 31, 1998","July 29, 2025","July 29, 2025",NONE,23,Census batch geocode + point-in-district,yes,yes
023886,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 190 MAIN STREET EAST AURORA NY 14052,190 MAIN STREET,EAST AURORA,14052,ERIE,Discontinued,"December 31, 1998","August 21, 2025","August 21, 2025",NONE,23,Census batch geocode + point-in-district,yes,yes
023885,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 1166 CENTRAL AVENUE DUNKIRK NY 14048,1166 CENTRAL AVENUE,DUNKIRK,14048,CHAUTAUQUA,Discontinued,"December 31, 1998","August 22, 2025","August 22, 2025",NONE,23,county wholly in NY-23,yes,yes
023882,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 6939 ERIE ROAD DERBY NY 14047,6939 ERIE ROAD,DERBY,14047,ERIE,Discontinued,"December 31, 1998","July 29, 2025","July 29, 2025",NONE,23,Census batch geocode + point-in-district,yes,yes
023880,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 4900 BROADWAY DEPEW NY 14043,4900 BROADWAY,DEPEW,14043,ERIE,Discontinued,"December 31, 1998","September 13, 2023","September 13, 2023",NONE,23,Census batch geocode + point-in-district,yes,yes
023879,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 10 WEST MAIN STREET CUBA NY 14727,10 WEST MAIN STREET,CUBA,14727,ALLEGANY,Transfer,"December 31, 1998","February 22, 2018","February 22, 2018",036251,23,county wholly in NY-23,yes,yes
023874,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 100 CONHOCTON STREET CORNING NY 14830,100 CONHOCTON STREET,CORNING,14830,STEUBEN,Discontinued,"December 31, 1998","July 14, 2025","July 14, 2025",NONE,23,county wholly in NY-23,yes,yes
023872,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 375 PULTENEY STREET CORNING NY 14830,375 PULTENEY STREET,CORNING,14830,STEUBEN,Transfer,"December 31, 1998","February 22, 2018","February 22, 2018",036248,23,county wholly in NY-23,yes,yes
023867,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 2401 GENESEE STREET CHEEKTOWAGA NY 14225,2401 GENESEE STREET,CHEEKTOWAGA,14225,ERIE,Discontinued,"December 31, 1998","October 23, 2025","October 23, 2025",NONE,26,unmatched address; city wholly outside NY-23 (assumed),no,yes
023857,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 1625 BROADWAY ST. BUFFALO NY 14212,1625 BROADWAY ST,. BUFFALO,14212,ERIE,Discontinued,"December 31, 1998","May 08, 2023","May 08, 2023",NONE,,,unknown,yes
023854,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 2175 SOUTH PARK AVENUE BUFFALO NY 14220,2175 SOUTH PARK AVENUE,BUFFALO,14220,ERIE,Discontinued,"December 31, 1998","July 03, 2025","July 03, 2025",NONE,26,Census batch geocode + point-in-district,no,yes
023852,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 4271 LAKE AVENUE BLASDELL NY 14219,4271 LAKE AVENUE,BLASDELL,14219,ERIE,Discontinued,"December 31, 1998","February 27, 2018","February 27, 2018",NONE,,,unknown,yes
023846,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 400 WEST MORRIS STREET BATH NY 14810,400 WEST MORRIS STREET,BATH,14810,STEUBEN,Discontinued,"December 31, 1998","May 12, 2008","May 12, 2008",NONE,23,county wholly in NY-23,yes,yes
023831,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 13090 BROADWAY ALDEN NY 14004,13090 BROADWAY,ALDEN,14004,ERIE,Discontinued,"December 31, 1998","October 23, 2025","October 23, 2025",NONE,23,Census batch geocode + point-in-district,yes,yes
023826,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 12983 MAIN RD. AKRON NY 14001,12983 MAIN RD,. AKRON,14001,ERIE,Discontinued,"December 31, 1998","July 17, 2025","July 17, 2025",NONE,23,Census batch geocode + point-in-district,yes,yes
024683,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 1454 UNION ROAD WEST SENECA NY 14224,1454 UNION ROAD,WEST SENECA,14224,ERIE,Discontinued,"April 05, 2000","July 10, 2025","July 10, 2025",NONE,26,Census batch geocode + point-in-district,no,yes
023984,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 265 NORTH UNION STREET OLEAN NY 14760,265 NORTH UNION STREET,OLEAN,14760,CATTARAUGUS,Discontinued,"December 31, 1998","August 22, 2025","August 22, 2025",NONE,23,county wholly in NY-23,yes,yes
023980,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 1381 NASH ROAD NORTH TONAWANDA NY 14120,1381 NASH ROAD,NORTH TONAWANDA,14120,NIAGARA,Discontinued,"December 31, 1998","September 14, 2023","September 14, 2023",NONE,26,Census batch geocode + point-in-district,no,yes
023975,Pharmacy,ECKERD CORPORATION,RITE AID PHARMACY,C/O PHARMACY 21 NORTH MAIN STREET NEWARK VALLEY NY 13811,21 NORTH MAIN STREET,NEWARK VALLEY,13811,TIOGA,Transfer,"December 31, 1998","February 22, 2018","February 22, 2018",036266,23,county wholly in NY-23,yes,yes
023994,Pharmacy,ECKERD CORPORATION # 5090,,98 VICTORY HIGHWAY PAINTED POST NY 14870,98 VICTORY HIGHWAY,PAINTED POST,14870,STEUBEN,Discontinued,"December 31, 1998","November 08, 2006","November 08, 2006",NONE,23,county wholly in NY-23,yes,yes
023939,Pharmacy,ECKERD CORPORATION #5648,,7326 SENECA ROAD NORTH HORNELL NY 14843,7326 SENECA ROAD,NORTH HORNELL,14843,STEUBEN,Discontinued,"December 31, 1998","August 02, 1999","August 02, 1999",NONE,23,county wholly in NY-23,yes,yes
024082,Pharmacy,ECKERD CORPORATION #5657,,6001 PORTER-PACKARD ROAD NIAGARA FALLS NY 14304,6001 PORTER-PACKARD ROAD,NIAGARA FALLS,14304,NIAGARA,Discontinued,"December 31, 1998","April 21, 2003","April 21, 2003",NONE,26,unmatched address; town wholly in/out of NY-23 (assumed),no,yes
023881,Pharmacy,ECKERD CORPORATION #5778,ECKERD DRUGS,C/O PHARMACY 2094 GEORGE URBAN BLVD. DEPEW NY 14043,2094 GEORGE URBAN BLVD,. DEPEW,14043,ERIE,Discontinued,"December 31, 1998","April 21, 2003","April 21, 2003",NONE,,,unknown,yes
023956,Pharmacy,ECKERD CORPORATION #5779,,34 CHESTNUT STREET LOCKPORT NY 14094,34 CHESTNUT STREET,LOCKPORT,14094,NIAGARA,Discontinued,"December 31, 1998","December 09, 2002","December 09, 2002",NONE,,,unknown,yes
023856,Pharmacy,ECKERD CORPORATION #5782,ECKERD DRUGS,C/O PHARMACY 2396 SENECA STREET BUFFALO NY 14210,2396 SENECA STREET,BUFFALO,14210,ERIE,Discontinued,"December 31, 1998","March 24, 2000","March 24, 2000",NONE,26,unmatched address; town wholly in/out of NY-23 (assumed),no,yes
024094,Pharmacy,ECKERD CORPORATION #5810,,C/O PHARMACY 1000 HERTEL AVENUE BUFFALO NY 14216,1000 HERTEL AVENUE,BUFFALO,14216,ERIE,Discontinued,"December 31, 1998","February 24, 2000","February 24, 2000",NONE,26,unmatched address; town wholly in/out of NY-23 (assumed),no,yes
023855,Pharmacy,ECKERD CORPORATION #5823,ECKERD DRUGS,C/O PHARMACY 2215 NIAGARA STREET BUFFALO NY 14207,2215 NIAGARA STREET,BUFFALO,14207,ERIE,Discontinued,"December 31, 1998","March 25, 2000","March 25, 2000",NONE,26,unmatched address; town wholly in/out of NY-23 (assumed),no,yes
023894,Pharmacy,ECKERD CORPORATION #5894,ECKERD DRUGS,C/O PHARMACY 209 MT. ZOAR STREET ELMIRA NY 14904,209 MT. ZOAR STREET,ELMIRA,14904,CHEMUNG,Discontinued,"December 31, 1998","June 28, 1999","June 28, 1999",NONE,23,county wholly in NY-23,yes,yes
024060,Pharmacy,ECKERD CORPORATION #5913,,C/O PHARMACY 125 BOLIVAR ROAD WELLSVILLE NY 14895,125 BOLIVAR ROAD,WELLSVILLE,14895,ALLEGANY,Discontinued,"December 31, 1998","April 29, 2005","April 29, 2005",NONE,23,county wholly in NY-23,yes,yes
024087,Pharmacy,ECKERD CORPORATION #5941,,C/O PHARMACY 3497 DELAWARE AVENUE KENMORE NY 14217,3497 DELAWARE AVENUE,KENMORE,14217,ERIE,Discontinued,"December 31, 1998","March 16, 2000","March 16, 2000",NONE,,,unknown,yes
023847,Pharmacy,ECKERD CORPORATION #5944,ECKERD DRUGS,C/O PHARMACY 84 CANAL STREET PO BOX 451 BIG FLATS NY 14814,84 CANAL STREET,BIG,14814,CHEMUNG,Discontinued,"December 31, 1998","March 25, 2000","March 25, 2000",NONE,23,county wholly in NY-23,yes,yes
023873,Pharmacy,ECKERD CORPORATION #5950,ECKERD DRUGS,C/O PHARMACY 326 PARK AVENUE CORNING NY 14830,326 PARK AVENUE,CORNING,14830,STEUBEN,Discontinued,"December 31, 1998","May 24, 1999","May 24, 1999",NONE,23,county wholly in NY-23,yes,yes
024069,Pharmacy,ECKERD CORPORATION #5965,,497 WEST KLEIN ROAD WILLIAMSVILLE NY 14221,497 WEST KLEIN ROAD,WILLIAMSVILLE,14221,ERIE,Discontinued,"December 31, 1998","March 16, 2000","March 16, 2000",NONE,,,unknown,yes
023845,Pharmacy,ECKERD CORPORATION #5981,ECKERD DRUGS,C/O PHARMACY 354 WEST WASHINGTON ST. BATH NY 14810,354 WEST WASHINGTON ST,. BATH,14810,STEUBEN,Discontinued,"December 31, 1998","March 16, 2000","March 16, 2000",NONE,23,county wholly in NY-23,yes,yes
024067,Pharmacy,ECKERD CORPORTATION #5630,,8202 TRANSIT ROAD WILLIAMSVILLE NY 14221,8202 TRANSIT ROAD,WILLIAMSVILLE,14221,ERIE,Not Active,Not On File,"May 22, 2007","May 22, 2007",NONE,,,unknown,yes
018243,Pharmacy,ECMC OUTER EAST SIDE HEALTH CENTER,GAJEWSKI HUMAN SERVICES CENTER (X-REF),C/O PHARMACY 1500 BROADWAY BUFFALO NY 14212,1500 BROADWAY,BUFFALO,14212,ERIE,Discontinued,"August 15, 1984","July 08, 2009","July 08, 2009",NONE,26,unmatched address; town wholly in/out of NY-23 (assumed),no,no
030723,Pharmacy,"EHS, INC.",THE PHARMACY AT EVERGREEN,206 S. ELMWOOD AVE. BUFFALO NY 14201-2313,206 S. ELMWOOD AVE,. BUFFALO,14201,ERIE,Active,"July 07, 2011","June 30, 2029",,NONE,26,Census batch geocode + point-in-district,no,yes
039611,Pharmacy,"EHS, INC.",THE PHARMACY AT EVERGREEN,800 HERTEL AVE SUITE 105 BUFFALO NY 14207,800 HERTEL AVE,BUFFALO,14207,ERIE,Active,"October 06, 2022","September 30, 2028",,NONE,26,unmatched address; city wholly outside NY-23 (assumed),no,yes
022022,Pharmacy,EIGHT EAST 5TH STREET INC.,"MEDICINE CENTER PHARMACY, THE",8 EAST 5TH ST. JAMESTOWN NY 14710,8 EAST 5TH ST,. JAMESTOWN,14710,CHAUTAUQUA,Discontinued,"February 28, 1994","October 19, 2006","October 19, 2006",NONE,23,county wholly in NY-23,yes,yes
101055,Manufacturer,"ELF ATOCHEM NORTH AMERICA, INC.","ATOCHEM NORTH AMERICA, INC. (X-REF.)",1740 MILITARY RD. P.O. BOX 1048 BUFFALO NY 14240-1048,1740 MILITARY RD,. BUFFALO,14240,ERIE,Discontinued,"March 31, 1969","August 08, 1996","August 08, 1996",NONE,,,unknown,no
303221,Wholesaler,ELLICOTT DRUG COMPANY,,1650 WALDEN AVE. CHEEKTOWAGA NY 14225,1650 WALDEN AVE,. CHEEKTOWAGA,14225,ERIE,Discontinued,"September 01, 1939","October 03, 1996","October 03, 1996",NONE,,,unknown,no
017405,Pharmacy,ELLICOTTVILLE PHARMACY INC.,,6133 ROUTE 219 SUITE 1004 ELLICOTTVILLE NY 14731,6133 ROUTE 219,ELLICOTTVILLE,14731,CATTARAUGUS,Active,"March 19, 1982","March 31, 2028",,NONE,23,county wholly in NY-23,yes,yes
019257,Pharmacy,"ELLICOTTVILLE PHARMACY, INC.",PARK PHARMACY,DEPARTMENT 445 BROAD STREET SALAMANCA NY 14779,445 BROAD STREET,SALAMANCA,14779,CATTARAUGUS,Discontinued,"October 28, 1986","November 05, 2014","November 05, 2014",NONE,23,county wholly in NY-23,yes,yes
000829,Pharmacy,ELMIRA HEIGHTS DRUG CO. INC.,,172 E. 14TH ST. ELMIRA HEIGHTS NY 14903,172 E. 14TH ST,. ELMIRA HEIGHTS,14903,CHEMUNG,Discontinued,"July 15, 1957","November 30, 1998","November 30, 1998",NONE,23,county wholly in NY-23,yes,yes
014317,Pharmacy,ELMIRA PSYCHIATRIC CENTER,,C/O PHARMACY 100 WASHINGTON ST. ELMIRA NY 14901,100 WASHINGTON ST,. ELMIRA,14901,CHEMUNG,Active,"August 31, 1973","August 31, 2028",,NONE,23,county wholly in NY-23,yes,yes
303193,Wholesaler,"ELMIRA TOBACCO COMPANY, INC.",,3466 UPPER OAKWOOD AVENUE ELMIRA HEIGHTS NY 14903,3466 UPPER OAKWOOD AVENUE,ELMIRA HEIGHTS,14903,CHEMUNG,Discontinued,"January 01, 1939","August 31, 1989","August 31, 1989",NONE,23,county wholly in NY-23,yes,no
017569,Pharmacy,"ELMWOOD VILLAGE DRUG MART, INC.",,202 WEST UTICA ST. BUFFALO NY 14222,202 WEST UTICA ST,. BUFFALO,14222,ERIE,Transfer,"September 21, 1982","September 10, 1993","September 10, 1993",021860,,,unknown,yes
031183,Wholesaler,EQUATOR PHARMA INC.,,1051 CLINTON ST. BUFFALO NY 14206,1051 CLINTON ST,. BUFFALO,14206,ERIE,Not Active,Not On File,"January 03, 2013","January 03, 2013",NONE,,,unknown,no
032935,Wholesaler,EQUATOR PHARMA INC.,,389 DAVISON RD. STORE #1 LOCKPORT NY 14094,389 DAVISON RD,. STORE #1 LOCKPORT,14094,NIAGARA,Not Registered,"June 24, 2014","May 31, 2026",,NONE,,,unknown,no
015940,Pharmacy,ERIE COUNTY CORRECTIONAL FACILITY,,C/O PHARMACY 11581 WALDEN AVE. ALDEN NY 14004,11581 WALDEN AVE,. ALDEN,14004,ERIE,Discontinued,"September 04, 1977","December 31, 2004","December 31, 2004",NONE,,,unknown,no
006510,Pharmacy,ERIE COUNTY MEDICAL CENTER,,C/O PHARMACY DEPARTMENT 462 GRIDER ST. BUFFALO NY 14215,462 GRIDER ST,. BUFFALO,14215,ERIE,Active,"January 01, 1931","January 31, 2028",,NONE,26,Census batch geocode + point-in-district,no,no
039031,Pharmacy,ERIE COUNTY MEDICAL CENTER CORPORATION,,C/O SPECIALTY PHARMACY 462 GRIDER ST RM 111-02D BUFFALO NY 14215,SPECIALTY PHARMACY 462 GRIDER ST,BUFFALO,14215,ERIE,Active,"January 03, 2022","December 31, 2027",,NONE,26,geocoded earlier,no,no
026301,Wholesaler/Repacker,"EXCELLUS HEALTH PLAN, INC.",,120 GARDENVILLE PKWY. WEST SENECA NY 14224-1324,120 GARDENVILLE PKWY,. WEST SENECA,14224,ERIE,Transfer,"September 24, 2003","December 02, 2005","December 02, 2005",027603,,,unknown,no
025999,Pharmacy,"EXCELLUS HEALTH PLAN, INC.",LIFETIME HEALTH,C/O PHARMACY 899 MAIN ST. BUFFALO NY 14203,899 MAIN ST,. BUFFALO,14203,ERIE,Transfer,"June 27, 2003","October 25, 2005","October 25, 2005",027323,,,unknown,yes
